==== CORE boost start: 2026-06-10T00:29:07Z  key=2iQjIW… ====
BEFORE: downloaded=926  paywalled+failed(to retry)=3664
---- resolve-pdfs --retry : 2026-06-10T00:29:07Z ----
17:29:08 INFO quantcrawler.pipeline: retry：重置 3664 篇 paywalled/failed 回 pending
17:29:08 INFO quantcrawler.pipeline: 需补充解析 PDF 的论文：3664 篇
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13217?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13033?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13183?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13013?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13249?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:08 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13217?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:08 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.12885?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13003?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13024?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.12906?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13128?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.12895?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:09 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13206?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:10 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13217&format=json&size=1 "HTTP/1.1 200 OK"
17:29:10 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13033?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:10 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13131?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:11 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13033&format=json&size=1 "HTTP/1.1 200 OK"
17:29:11 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13183?fields=openAccessPdf "HTTP/1.1 200 OK"
17:29:11 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13099?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:11 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13183&format=json&size=1 "HTTP/1.1 200 OK"
17:29:11 INFO httpx: HTTP Request: GET https://api.core.ac.uk/v3/search/works/?q=doi%3A%2210.1111%2Fjofi.13183%22&limit=1 "HTTP/1.1 200 OK"
17:29:12 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13013?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:12 INFO httpx: HTTP Request: GET https://export.arxiv.org/api/query?search_query=ti%3A%22Attention%E2%80%90Induced+Trading+and+Returns%3A+Evidence+from+Robinhood+Users%22&max_results=5 "HTTP/1.1 200 OK"
17:29:12 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13016?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:12 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13013&format=json&size=1 "HTTP/1.1 200 OK"
17:29:13 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13298?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:13 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13249?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:14 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13249&format=json&size=1 "HTTP/1.1 200 OK"
17:29:14 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.12995?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:14 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.12885?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:15 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.12885&format=json&size=1 "HTTP/1.1 200 OK"
17:29:16 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13003?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:16 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13003&format=json&size=1 "HTTP/1.1 200 OK"
17:29:16 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13179?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
17:29:17 INFO httpx: HTTP Request: GET https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/jofi.13024?fields=openAccessPdf "HTTP/1.1 404 Not Found"
17:29:17 INFO httpx: HTTP Request: GET https://api.openaire.eu/search/publications?doi=10.1111%2Fjofi.13024&format=json&size=1 "HTTP/1.1 200 OK"
17:29:17 INFO httpx: HTTP Request: GET https://api.unpaywall.org/v2/10.1111/jofi.13061?email=xinchoubiology%40gmail.com "HTTP/1.1 200 OK"
